corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,wznq.0,924,1313,_stage,960,968,Voltaire,voltaire
gdc,wznq.0,1315,1537,voltaire,1344,1347,ich,voltaire
gdc,wznq.0,1366,1537,_stage,1472,1476,Amme,amme
gdc,wznq.0,1541,5953,amme,1683,1686,mir,amme
gdc,wznq.0,1541,5953,amme,1924,1927,mir,amme
gdc,wznq.0,1541,5953,amme,2339,2342,ich,amme
gdc,wznq.0,1541,5953,amme,2356,2359,mir,amme
gdc,wznq.0,1541,5953,amme,2470,2473,mir,amme
gdc,wznq.0,1541,5953,amme,2614,2617,ich,amme
gdc,wznq.0,1541,5953,amme,2641,2644,ich,amme
gdc,wznq.0,1541,5953,amme,3142,3145,mir,amme
gdc,wznq.0,1541,5953,amme,3153,3158,meine,amme
gdc,wznq.0,1541,5953,amme,3169,3173,mein,amme
gdc,wznq.0,1541,5953,amme,3271,3274,Ich,amme
gdc,wznq.0,1541,5953,amme,3384,3387,ich,amme
gdc,wznq.0,1541,5953,amme,3448,3451,ich,amme
gdc,wznq.0,1541,5953,amme,3536,3540,mich,amme
gdc,wznq.0,1541,5953,amme,3598,3606,Voltaire,voltaire
gdc,wznq.0,1541,5953,amme,3686,3689,ich,amme
gdc,wznq.0,1541,5953,amme,3708,3711,ich,amme
gdc,wznq.0,1541,5953,amme,3763,3766,ich,amme
gdc,wznq.0,1541,5953,amme,3815,3818,ich,amme
gdc,wznq.0,1541,5953,amme,3894,3897,ich,amme
gdc,wznq.0,1541,5953,amme,3927,3930,ich,amme
gdc,wznq.0,1541,5953,amme,4121,4124,ich,amme
gdc,wznq.0,1541,5953,amme,4179,4182,ich,amme
gdc,wznq.0,1541,5953,amme,4319,4322,ich,amme
gdc,wznq.0,1541,5953,amme,4661,4664,ich,amme
gdc,wznq.0,1541,5953,amme,4665,4670,meine,amme
gdc,wznq.0,1541,5953,amme,4726,4730,mich,amme
gdc,wznq.0,1541,5953,amme,4755,4758,ich,amme
gdc,wznq.0,1541,5953,amme,4867,4871,mich,amme
gdc,wznq.0,1541,5953,amme,4890,4893,Ich,amme
