corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,wzp6.0,373,23568,0,2068,5837,0
gdc,wzp6.0,373,23568,0,5843,13423,0
gdc,wzp6.0,373,23568,0,13429,23568,0
gdc,wzp6.0,23576,55453,0,23782,32535,0
gdc,wzp6.0,23576,55453,0,32541,41523,0
gdc,wzp6.0,23576,55453,0,41530,45313,0
gdc,wzp6.0,23576,55453,0,45319,51105,0
gdc,wzp6.0,23576,55453,0,51111,55453,0
gdc,wzp6.0,55461,82546,0,56080,67622,0
gdc,wzp6.0,55461,82546,0,67630,72786,0
gdc,wzp6.0,55461,82546,0,72792,82546,0
