corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,wzp9.0,beckmesser,7,
gdc,wzp9.0,walther,0,
gdc,wzp9.0,eva,2,
gdc,wzp9.0,kothner,11,
gdc,wzp9.0,nachtigall,10,
gdc,wzp9.0,moser,14,
gdc,wzp9.0,die_baecker,30,
gdc,wzp9.0,zweiter_nachbar,21,
gdc,wzp9.0,die_nachbarn,25,
gdc,wzp9.0,erster_nachbar,20,
gdc,wzp9.0,zweiter_lehrbube,4,
gdc,wzp9.0,die_schuster,28,
gdc,wzp9.0,david,3,
gdc,wzp9.0,sachs,8,
gdc,wzp9.0,der_nachtwaechter,19,
gdc,wzp9.0,vogelgesang,9,
gdc,wzp9.0,die_nachbarinnen,27,
gdc,wzp9.0,die_gemeinde,22,
gdc,wzp9.0,die_meister_meistersinger,24,
gdc,wzp9.0,gesellen,26,
gdc,wzp9.0,schwarz,18,
gdc,wzp9.0,alles_volk,31,
gdc,wzp9.0,ein_lehrbube_1-3,15,
gdc,wzp9.0,magdalene,1,
gdc,wzp9.0,pogner,6,
gdc,wzp9.0,die_lehrbuben,23,
gdc,wzp9.0,foltz,17,
gdc,wzp9.0,ortel,12,
gdc,wzp9.0,zorn,13,
gdc,wzp9.0,die_schneider,29,
gdc,wzp9.0,erster_lehrbube,5,
gdc,wzp9.0,eisslinger,16,
