corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,x34j.0,92,103,_Stage,_Stage,Wohnzimmer,NN,wohnzimmer,24148,,
gdc,x34j.0,92,103,_Stage,_Stage,.,$.,--,24148,,
gdc,x34j.0,1370,1382,Frau Bergmann,frau_bergmann,sie,PPER,sie,24148,,
gdc,x34j.0,1370,1382,Frau Bergmann,frau_bergmann,küssend,ADJD,küssend,24148,,
gdc,x34j.0,1370,1382,Frau Bergmann,frau_bergmann,.,$.,--,24148,,
gdc,x34j.0,1810,1843,Wendla,wendla,das,ART,der,24148,,
gdc,x34j.0,1810,1843,Wendla,wendla,Kleid,NN,kleid,24148,,
gdc,x34j.0,1810,1843,Wendla,wendla,in,APPR,in,24148,,
gdc,x34j.0,1810,1843,Wendla,wendla,den,ART,der,24148,,
gdc,x34j.0,1810,1843,Wendla,wendla,Schrank,NN,schrank,24148,,
gdc,x34j.0,1810,1843,Wendla,wendla,hängend,ADJD,hängend,24148,,
gdc,x34j.0,1810,1843,Wendla,wendla,.,$.,--,24148,,
gdc,x34j.0,2618,2631,_Stage,_Stage,Sonntagabend,ADJD,sonntagabend,24148,,
gdc,x34j.0,2618,2631,_Stage,_Stage,.,$.,--,24148,,
gdc,x34j.0,3462,3510,Melchior,melchior,Alle,PIS,aller,24148,,
gdc,x34j.0,3462,3510,Melchior,melchior,entfernen,VVFIN,entfernen,24148,,
gdc,x34j.0,3462,3510,Melchior,melchior,sich,PRF,sich,24148,,
gdc,x34j.0,3462,3510,Melchior,melchior,bis,APPR,bis,24148,,
gdc,x34j.0,3462,3510,Melchior,melchior,auf,APPR,auf,24148,,
gdc,x34j.0,3462,3510,Melchior,melchior,Moritz,NE,moritz,24148,,
gdc,x34j.0,3462,3510,Melchior,melchior,und,KON,und,24148,,
gdc,x34j.0,3462,3510,Melchior,melchior,Melchior,NE,melchior,24148,,(2)
gdc,x34j.0,3462,3510,Melchior,melchior,.,$.,--,24148,,
gdc,x34j.0,4076,4096,Melchior,melchior,Sie,PPER,sie,24148,,
gdc,x34j.0,4076,4096,Melchior,melchior,gehen,VVFIN,gehen,24148,,
gdc,x34j.0,4076,4096,Melchior,melchior,spazieren,VVINF,spazieren,24148,,
gdc,x34j.0,4076,4096,Melchior,melchior,.,$.,--,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,Thea,NE,thea,24148,,(9)
gdc,x34j.0,13969,14029,_Stage,_Stage,",","$,",--,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,Wendla,NE,wendla,24148,,(0)
gdc,x34j.0,13969,14029,_Stage,_Stage,und,KON,und,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,Martha,NE,martha,24148,,(8)
gdc,x34j.0,13969,14029,_Stage,_Stage,kommen,VVFIN,kommen,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,Arm,NN,arm,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,in,APPR,in,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,Arm,NN,arm,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,die,ART,der,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,Straße,NN,straße,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,herauf,PTKVZ,herauf,24148,,
gdc,x34j.0,13969,14029,_Stage,_Stage,.,$.,--,24148,,
gdc,x34j.0,19271,19303,Wendla,wendla,Melchior,NN,melchior,24148,,(2)
gdc,x34j.0,19271,19303,Wendla,wendla,geht,VVFIN,gehen,24148,,
gdc,x34j.0,19271,19303,Wendla,wendla,vorüber,ADV,vorüber,24148,,
gdc,x34j.0,19271,19303,Wendla,wendla,und,KON,und,24148,,
gdc,x34j.0,19271,19303,Wendla,wendla,grüßt,VVFIN,grüßen,24148,,
gdc,x34j.0,19271,19303,Wendla,wendla,.,$.,--,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,Parkanlagen,NN,parkanlage,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,vor,APPR,vor,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,dem,ART,der,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,Gymnasium,NN,gymnasium,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,.,$.,--,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,–,XY,–,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,Melchior,NE,melchior,24148,,(2)
gdc,x34j.0,20325,20417,_Stage,_Stage,",","$,",--,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,Otto,NE,otto,24148,,(3)
gdc,x34j.0,20325,20417,_Stage,_Stage,",","$,",--,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,Georg,NE,georg,24148,,(5)
gdc,x34j.0,20325,20417,_Stage,_Stage,",","$,",--,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,Robert,NE,robert,24148,,(6)
gdc,x34j.0,20325,20417,_Stage,_Stage,",","$,",--,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,Hänschen,NE,hänsch,24148,,(11
gdc,x34j.0,20325,20417,_Stage,_Stage,Rilow,NE,rilow,24148,,11)
gdc,x34j.0,20325,20417,_Stage,_Stage,",","$,",--,24148,,
gdc,x34j.0,20325,20417,_Stage,_Stage,Lämmermeier,NN,lämmermeier,24148,,(10)
gdc,x34j.0,20325,20417,_Stage,_Stage,.,$.,--,24148,,
gdc,x34j.0,21828,21864,Melchior,melchior,Moritz,NE,moritz,24148,,
gdc,x34j.0,21828,21864,Melchior,melchior,kommt,VVFIN,kommen,24148,,
gdc,x34j.0,21828,21864,Melchior,melchior,in,APPR,in,24148,,
gdc,x34j.0,21828,21864,Melchior,melchior,äußerster,ADJA,äußerer,24148,,
gdc,x34j.0,21828,21864,Melchior,melchior,Aufregung,NN,aufregung,24148,,
gdc,x34j.0,21828,21864,Melchior,melchior,.,$.,--,24148,,
gdc,x34j.0,22389,22398,Moritz Stiefel,moritz,Lächelnd,ADJD,lächelnd,24148,,
gdc,x34j.0,22389,22398,Moritz Stiefel,moritz,.,$.,--,24148,,
gdc,x34j.0,24413,24427,Melchior,melchior,gibt,VVFIN,geben,24148,,
gdc,x34j.0,24413,24427,Melchior,melchior,ihm,PPER,ihm,24148,,
