corpus,drama,figure_surface,figure_id,Gender,Age
gdc,x3b4.0,Der Schauspieler,der_schauspieler,MALE,
gdc,x3b4.0,Ein Landstreicher,der_landstreicher,MALE,
gdc,x3b4.0,Battista,battista,MALE,
gdc,x3b4.0,Der Gerichtsaktuar,der_gerichtsaktuar,MALE,
gdc,x3b4.0,Meister Pandolfo,meister_pandolfo,MALE,
gdc,x3b4.0,Der Kunstreiter,der_kunstreiter,MALE,
gdc,x3b4.0,Zweiter Bedienter,zweiter_bedienter,MALE,
gdc,x3b4.0,Prinzessin Alma,alma,FEMALE,
gdc,x3b4.0,Die Bürger/Einige Stimmen/Einige Bürger/Alle Anwesenden (1. Bild),die_buerger_alle_anwesenden,UNKNOWN,
gdc,x3b4.0,Der Prokurator des Königs,der_prokurator_des_koenigs,MALE,
gdc,x3b4.0,Erster Bedienter,erster_bedienter,MALE,
gdc,x3b4.0,Die Kupplerin,die_kupplerin,FEMALE,
gdc,x3b4.0,König Nicolo,koenig_nicolo,MALE,
gdc,x3b4.0,Der Söldner,der_soeldner,MALE,
gdc,x3b4.0,Andrea Valori,andrea_valori,MALE,
gdc,x3b4.0,Pietro Folchi/König Pietro,koenig_pietro,MALE,
gdc,x3b4.0,Chorus (7. Bild),chorus,UNKNOWN,
gdc,x3b4.0,Der Gutsbesitzer,der_gutsbesitzer,MALE,
gdc,x3b4.0,Der Gefängniswärter,der_gefaengniswaerter,MALE,
gdc,x3b4.0,Michele,michele,MALE,
gdc,x3b4.0,Der Zuschauer (8. Bild),der_zuschauer,MALE,
gdc,x3b4.0,Noè,noe,MALE,
gdc,x3b4.0,Benedetto Nardi,benedetto_nardi,MALE,
gdc,x3b4.0,Ein Edelknabe,ein_edelknabe,MALE,
gdc,x3b4.0,Die Zuschauer/Die Zuhörer (7. Bild),die_zuschauer_die_zuhoerer,UNKNOWN,
gdc,x3b4.0,Der Oberrichter,der_oberrichter,MALE,
gdc,x3b4.0,Ein anderer Theaterbesitzer,der_zweite_theaterbesitzer,MALE,
gdc,x3b4.0,Filipo Folchi/Prinz Filipo,filipo,MALE,
gdc,x3b4.0,Der erste Theaterbesitzer,der_erste_theaterbesitzer,MALE,
gdc,x3b4.0,Der Verteidiger,der_verteidiger,MALE,
