corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,x3b4.0,der_schauspieler,22,
gdc,x3b4.0,der_landstreicher,10,
gdc,x3b4.0,battista,14,
gdc,x3b4.0,der_gerichtsaktuar,17,
gdc,x3b4.0,meister_pandolfo,11,
gdc,x3b4.0,der_kunstreiter,20,
gdc,x3b4.0,zweiter_bedienter,3,
gdc,x3b4.0,alma,1,
gdc,x3b4.0,die_buerger_alle_anwesenden,27,
gdc,x3b4.0,der_prokurator_des_koenigs,16,
gdc,x3b4.0,erster_bedienter,2,
gdc,x3b4.0,die_kupplerin,23,
gdc,x3b4.0,koenig_nicolo,0,
gdc,x3b4.0,der_soeldner,8,
gdc,x3b4.0,andrea_valori,5,
gdc,x3b4.0,koenig_pietro,4,
gdc,x3b4.0,chorus,28,
gdc,x3b4.0,der_gutsbesitzer,9,
gdc,x3b4.0,der_gefaengniswaerter,19,
gdc,x3b4.0,michele,12,
gdc,x3b4.0,der_zuschauer,26,
gdc,x3b4.0,noe,13,
gdc,x3b4.0,benedetto_nardi,7,
gdc,x3b4.0,ein_edelknabe,25,
gdc,x3b4.0,die_zuschauer_die_zuhoerer,29,
gdc,x3b4.0,der_oberrichter,15,
gdc,x3b4.0,der_zweite_theaterbesitzer,24,
gdc,x3b4.0,filipo,6,
gdc,x3b4.0,der_erste_theaterbesitzer,21,
gdc,x3b4.0,der_verteidiger,18,
