corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,x3bs.0,1079,1097,_Stage,_Stage,Cölestin,NE,cölestin,19200,,(0)
gdc,x3bs.0,1079,1097,_Stage,_Stage,.,$.,--,19200,,
gdc,x3bs.0,1079,1097,_Stage,_Stage,Tatjana,NE,tatjana,19200,,(1)
gdc,x3bs.0,1079,1097,_Stage,_Stage,.,$.,--,19200,,
gdc,x3bs.0,1108,1150,Cölestin,coelestin,sich,PRF,sich,19200,,
gdc,x3bs.0,1108,1150,Cölestin,coelestin,auf,APPR,auf,19200,,
gdc,x3bs.0,1108,1150,Cölestin,coelestin,die,ART,der,19200,,
gdc,x3bs.0,1108,1150,Cölestin,coelestin,Lehne,NN,lehne,19200,,
gdc,x3bs.0,1108,1150,Cölestin,coelestin,eines,ART,ein,19200,,
gdc,x3bs.0,1108,1150,Cölestin,coelestin,Sessels,NN,sessel,19200,,
gdc,x3bs.0,1108,1150,Cölestin,coelestin,stützend,ADJD,stützend,19200,,
gdc,x3bs.0,1108,1150,Cölestin,coelestin,.,$.,--,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,einen,ART,ein,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,Flederwisch,NN,flederwisch,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,in,APPR,in,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,der,ART,der,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,Hand,NN,hand,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,",","$,",--,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,auf,APPR,auf,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,dem,PRELS,der,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,Diwan,NE,diwan,19200,,
gdc,x3bs.0,1226,1271,Tatjana,tatjana,.,$.,--,19200,,
gdc,x3bs.0,1542,1556,Tatjana,tatjana,sich,PRF,sich,19200,,
gdc,x3bs.0,1542,1556,Tatjana,tatjana,erhebend,ADJD,erhebend,19200,,
gdc,x3bs.0,1542,1556,Tatjana,tatjana,.,$.,--,19200,,
gdc,x3bs.0,2001,2014,Tatjana,tatjana,unter,APPR,unter,19200,,
gdc,x3bs.0,2001,2014,Tatjana,tatjana,Tränen,NN,träne,19200,,
gdc,x3bs.0,2001,2014,Tatjana,tatjana,.,$.,--,19200,,
gdc,x3bs.0,2685,2705,Cölestin,coelestin,sie,PPER,sie,19200,,
gdc,x3bs.0,2685,2705,Cölestin,coelestin,am,APPRART,an,19200,,
gdc,x3bs.0,2685,2705,Cölestin,coelestin,Kinn,NN,kinn,19200,,
gdc,x3bs.0,2685,2705,Cölestin,coelestin,fassend,ADJD,fassend,19200,,
