corpus,drama,figure_surface,figure_id,Gender,Age
gdc,x3d6.0,Scholz,scholz,MALE,
gdc,x3d6.0,Frau Krenzl,frau_krenzl,FEMALE,
gdc,x3d6.0,Ein Packträger,ein_packtraeger,MALE,
gdc,x3d6.0,Freifrau von Rosenkron,freifrau_von_rosenkron,FEMALE,
gdc,x3d6.0,Freifrau von Totleben,freifrau_von_totleben,FEMALE,
gdc,x3d6.0,Molly Griesinger,molly,FEMALE,
gdc,x3d6.0,Anna,anna,FEMALE,
gdc,x3d6.0,Ernst Scholz,ernst_scholz,MALE,
gdc,x3d6.0,Ein Bäckerweib,ein_baeckerweib,FEMALE,
gdc,x3d6.0,von Keith,von_keith,MALE,
gdc,x3d6.0,Sommersberg,sommersberg,MALE,
gdc,x3d6.0,Grandauer,grandauer,MALE,
gdc,x3d6.0,Frau Ostermeier,frau_ostermeier,FEMALE,
gdc,x3d6.0,Raspe,raspe,MALE,
gdc,x3d6.0,Simba,simba,FEMALE,
gdc,x3d6.0,Hermann Casimir,hermann,MALE,
gdc,x3d6.0,Ein Metzgerknecht,ein_metzgerknecht,MALE,
gdc,x3d6.0,Konsul Casimir,casimir,MALE,
gdc,x3d6.0,Ostermeier,ostermeier,MALE,
gdc,x3d6.0,Zamrjaki,zamrjaki,MALE,
gdc,x3d6.0,Krenzl,krenzl,MALE,
gdc,x3d6.0,Saranieff,saranieff,MALE,
gdc,x3d6.0,Sascha,sascha,MALE,
