corpus,drama,figure_surface,figure_id,Gender,Age
gdc,x4vf.0,Erster Diener,erster_diener,MALE,
gdc,x4vf.0,Kunigunde,kunigunde,FEMALE,
gdc,x4vf.0,Bedienter,bedienter,MALE,
gdc,x4vf.0,Giebel,giebel,MALE,
gdc,x4vf.0,Madame Wölbing,madame_woelbing,FEMALE,
gdc,x4vf.0,Diener,diener,MALE,
gdc,x4vf.0,Walter,walter,MALE,
gdc,x4vf.0,Christine,christine,FEMALE,
gdc,x4vf.0,Flint,flint,MALE,
gdc,x4vf.0,August,august,MALE,
gdc,x4vf.0,Albertine,albertine,FEMALE,
gdc,x4vf.0,Emerike,emerike,FEMALE,
gdc,x4vf.0,Annchen,annchen,FEMALE,
gdc,x4vf.0,Jüngling,juengling,MALE,
gdc,x4vf.0,Gehrmann,gehrmann,MALE,
