corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,x4vp.0,357,582,Bilau,bilau,Gleich,ADV,gleich,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,",","$,",--,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,gleich,ADV,gleich,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,–,CARD,–,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,Die,ART,der,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,Post,NN,post,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,expedirt,VVFIN,expediren,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,",","$,",--,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,die,ART,der,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,bewußten,ADJA,bewußt,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,Briefe,NN,brief,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,nach,APPR,nach,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,Hamburg,NE,hamburg,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,",","$,",--,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,noch,ADV,noch,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,einen,PIS,ein,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,nach,APPR,nach,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,Frankfurt,NE,Frankfurt,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,",","$,",--,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,dann,ADV,dann,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,ist,VAFIN,sein,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,alles,PIS,alle,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,in,APPR,in,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,Ordnung,NN,ordnung,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,.,$.,--,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,Nun,ADV,nun,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,Freundchen,NN,freundchen,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,",","$,",--,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,wie,PWAV,wie,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,steht,VVFIN,stehen,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,es,PPER,es,20912,,
gdc,x4vp.0,357,582,Bilau,bilau,?,$.,--,20912,,
gdc,x4vp.0,587,611,Grundmann,grundmann,Vortrefflich,ADJD,vortrefflich,20912,,
gdc,x4vp.0,587,611,Grundmann,grundmann,.,$.,--,20912,,
gdc,x4vp.0,616,636,Bilau,bilau,Mein,PPOSAT,mein,20912,bilau,(0)
gdc,x4vp.0,616,636,Bilau,bilau,Auftrag,NN,auftrag,20912,,
gdc,x4vp.0,616,636,Bilau,bilau,?,$.,--,20912,,
gdc,x4vp.0,641,683,Grundmann,grundmann,Auf,APPR,auf,20912,,
gdc,x4vp.0,641,683,Grundmann,grundmann,das,ART,der,20912,,
gdc,x4vp.0,641,683,Grundmann,grundmann,pünktlichste,ADJA,pünktlich,20912,,
gdc,x4vp.0,641,683,Grundmann,grundmann,vollzogen,VVPP,vollziehen,20912,,
gdc,x4vp.0,641,683,Grundmann,grundmann,.,$.,--,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,Dafür,PROAV,dafür,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,kenn,VVFIN,kenn,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,',$(,--,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,ich,PPER,ich,20912,bilau,(0)
gdc,x4vp.0,689,805,Bilau,bilau,Sie,PPER,sie,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,.,$.,--,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,Aber,KON,aber,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,jetzt,ADV,jetzt,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,lassen,VVFIN,lassen,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,Sie,PPER,sie,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,mich,PPER,mich,20912,bilau,(0)
gdc,x4vp.0,689,805,Bilau,bilau,hören,VVINF,hören,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,",","$,",--,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,wie,KOKOM,wie,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,Sie,PPER,sie,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,alles,PIS,alle,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,eingeleitet,VVPP,einleiten,20912,,
gdc,x4vp.0,689,805,Bilau,bilau,.,$.,--,20912,,
gdc,x4vp.0,810,849,Grundmann,grundmann,Als,KOUS,als,20912,,
gdc,x4vp.0,810,849,Grundmann,grundmann,ich,PPER,ich,20912,grundmann,(1)
gdc,x4vp.0,810,849,Grundmann,grundmann,–,XY,–,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,Halt,VVIMP,halt,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,–,CARD,–,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,Das,ART,der,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,Geschäft,NN,geschäft,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,mit,APPR,mit,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,den,ART,der,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,acht,CARD,acht,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,Fässern,NN,fass,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,Zucker,NN,zucker,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,wird,VAFIN,werden,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,abgeschlossen,VVPP,abschließen,20912,,
gdc,x4vp.0,854,954,Bilau,bilau,.,$.,--,20912,,
gdc,x4vp.0,959,1007,Grundmann,grundmann,Wir,PPER,wir,20912,,
gdc,x4vp.0,959,1007,Grundmann,grundmann,haben,VAFIN,haben,20912,,
gdc,x4vp.0,959,1007,Grundmann,grundmann,noch,ADV,noch,20912,,
gdc,x4vp.0,959,1007,Grundmann,grundmann,Ueberschuß,NN,ueberschuß,20912,,
gdc,x4vp.0,959,1007,Grundmann,grundmann,im,APPRART,in,20912,,
gdc,x4vp.0,959,1007,Grundmann,grundmann,Magazin,NN,magazin,20912,,
gdc,x4vp.0,959,1007,Grundmann,grundmann,.,$.,--,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,Wird,VAFIN,werden,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,sich,PRF,sich,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,vergreifen,VVINF,vergreifen,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,",","$,",--,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,die,ART,der,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,Menschen,NN,mensch,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,versüssen,VVFIN,versüssen,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,sich,PRF,sich,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,das,ART,der,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,Leben,NN,leben,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,gerne,ADV,gerne,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,.,$.,--,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,Wie,PWAV,wie,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,die,ART,der,20912,,
gdc,x4vp.0,1012,1173,Bilau,bilau,Zeiten,NN,zeit,20912,,
