corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,x5bv.0,10166,13039,Trude,trude,Schon,ADV,schon,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,eilf,VVFIN,eilf,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,",","$,",--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,und,KON,und,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Kunz,NE,kunz,12734,kunz,(1)
gdc,x5bv.0,10166,13039,Trude,trude,noch,ADV,noch,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,immer,ADV,immer,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,nicht,PTKNEG,nicht,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,zu,APPR,zu,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Haus,NN,haus,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,:,$.,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Er,PPER,er,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,ging,VVFIN,gehen,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,nach,APPR,nach,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Leuk,NE,leuk,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,doch,ADV,doch,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,heute,ADV,heute,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,früh,ADJD,früh,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,schon,ADV,schon,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,aus,PTKVZ,aus,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,.,$.,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,–,XY,–,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Wenn,KOUS,wenn,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,er,PPER,er,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,nur,ADV,nur,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,nicht,PTKNEG,nicht,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,verunglückt,VVPP,verunglücken,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,"!",$.,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,–,XY,–,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Welch,PWAT,welch,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Getöse,NN,getöse,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Der,ART,der,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Föhn,NN,föhn,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,heut,VVFIN,heut,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,wieder,ADV,wieder,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,treibt,VVFIN,treiben,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,"!",$.,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Als,KOKOM,als,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,ob,KOUS,ob,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,der,ART,der,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Böse,NN,böse,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Vom,APPRART,von,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Gellihorne,NN,gellihorne,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,pfeift,VVFIN,pfeifen,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,",","$,",--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,es,PPER,es,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,zu,PTKZU,zu,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,zerreißen,VVINF,zerreißen,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,",","$,",--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Und,KON,und,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,es,PPER,es,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,dem,ART,der,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Gemmi,NN,gemmi,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,nach,APPR,nach,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,dem,ART,der,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Kopf,NN,kopf,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,zu,PTKZU,zu,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,schmeißen,VVINF,schmeißen,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,",","$,",--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Wie,PWAV,wie,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Kunz,NE,kunz,12734,kunz,(1)
gdc,x5bv.0,10166,13039,Trude,trude,das,ART,der,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Messer,NN,messer,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,schmiß,VVFIN,schmeißen,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,"!",$.,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,–,XY,–,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Was,PWS,was,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,fällt,VVFIN,fallen,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,mir,PPER,sich,12734,trude,(0)
gdc,x5bv.0,10166,13039,Trude,trude,ein,PTKVZ,ein,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,"!",$.,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,–,XY,–,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Ja,PTKANT,ja,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,",","$,",--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,um,KOUI,um,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,die,ART,der,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Zeit,NN,zeit,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,just,ADV,just,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,wird,VAFIN,werden,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,',$(,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,s,PPER,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,gewesen,VAPP,sein,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,sein,VAINF,sein,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,;,$.,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,Es,PPER,es,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,war,VAFIN,sein,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,ja,ADV,ja,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,",","$,",--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,glaub,ADJD,glaub,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,',$(,--,12734,,
gdc,x5bv.0,10166,13039,Trude,trude,ich,PPER,ich,12734,trude,(0)
