corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,x8fs.0,490,842,sidney,644,648,mein,sidney
gdc,x8fs.0,490,842,sidney,674,677,ich,sidney
gdc,x8fs.0,490,842,sidney,698,705,Suffolk,suffolk
gdc,x8fs.0,848,1088,lady_johanna,914,918,Mein,lady_johanna
gdc,x8fs.0,848,1088,lady_johanna,927,931,mein,lady_johanna
gdc,x8fs.0,848,1088,lady_johanna,954,960,Sidney,sidney
gdc,x8fs.0,848,1088,lady_johanna,971,974,mir,lady_johanna
gdc,x8fs.0,848,1088,lady_johanna,995,1001,Sidney,sidney
gdc,x8fs.0,848,1088,lady_johanna,1017,1022,meine,lady_johanna
gdc,x8fs.0,2191,5304,lady_johanna,2241,2244,mir,lady_johanna
gdc,x8fs.0,2191,5304,lady_johanna,2257,2261,Mein,lady_johanna
gdc,x8fs.0,2191,5304,lady_johanna,2337,2341,mein,lady_johanna
gdc,x8fs.0,2191,5304,lady_johanna,4753,4757,mich,lady_johanna
gdc,x8fs.0,2191,5304,lady_johanna,4764,4767,mir,lady_johanna
gdc,x8fs.0,2191,5304,lady_johanna,4978,4982,mich,lady_johanna
gdc,x8fs.0,2191,5304,lady_johanna,5151,5155,mich,lady_johanna
gdc,x8fs.0,2191,5304,lady_johanna,5173,5177,Mich,lady_johanna
gdc,x8fs.0,2191,5304,lady_johanna,5257,5261,mich,lady_johanna
gdc,x8fs.0,6656,8325,lady_johanna,7099,7102,ich,lady_johanna
gdc,x8fs.0,6656,8325,lady_johanna,7397,7402,meine,lady_johanna
gdc,x8fs.0,6656,8325,lady_johanna,7490,7494,mich,lady_johanna
gdc,x8fs.0,6656,8325,lady_johanna,7627,7632,meine,lady_johanna
gdc,x8fs.0,6656,8325,lady_johanna,7843,7847,mich,lady_johanna
gdc,x8fs.0,6656,8325,lady_johanna,7973,7977,mein,lady_johanna
gdc,x8fs.0,6656,8325,lady_johanna,8279,8282,mir,lady_johanna
gdc,x8fs.0,8520,10257,lady_johanna,9083,9087,mein,lady_johanna
gdc,x8fs.0,8520,10257,lady_johanna,9440,9448,Gardiner,gardiner
gdc,x8fs.0,8520,10257,lady_johanna,9632,9638,Sidney,sidney
gdc,x8fs.0,8520,10257,lady_johanna,10043,10046,mir,lady_johanna
gdc,x8fs.0,8520,10257,lady_johanna,10047,10051,mein,lady_johanna
gdc,x8fs.0,8520,10257,lady_johanna,10102,10106,mein,lady_johanna
gdc,x8fs.0,10263,10467,sidney,10272,10285,Lord Guilford,guilford
gdc,x8fs.0,10263,10467,sidney,10368,10371,Ich,sidney
gdc,x8fs.0,10490,10518,_stage,10504,10517,Lord Guilford,guilford
gdc,x8fs.0,10520,11030,lady_johanna,10756,10760,mich,lady_johanna
gdc,x8fs.0,10520,11030,lady_johanna,10911,10914,mir,lady_johanna
gdc,x8fs.0,10520,11030,lady_johanna,10967,10971,mein,lady_johanna
gdc,x8fs.0,11036,11721,guilford,11069,11072,ich,guilford
gdc,x8fs.0,11036,11721,guilford,11110,11116,meiner,guilford
gdc,x8fs.0,11036,11721,guilford,11288,11293,meine,guilford
gdc,x8fs.0,11036,11721,guilford,11465,11479,Northumberland,northumberland
gdc,x8fs.0,11036,11721,guilford,11502,11506,mein,guilford
gdc,x8fs.0,11727,12223,lady_johanna,12175,12180,meine,lady_johanna
gdc,x8fs.0,12229,13509,guilford,12744,12747,ich,guilford
gdc,x8fs.0,12229,13509,guilford,12765,12768,ich,guilford
gdc,x8fs.0,12229,13509,guilford,12769,12775,meinen,guilford
gdc,x8fs.0,12229,13509,guilford,12902,12905,Mir,guilford
gdc,x8fs.0,13515,13960,lady_johanna,13537,13540,mir,lady_johanna
gdc,x8fs.0,13515,13960,lady_johanna,13554,13557,mir,lady_johanna
gdc,x8fs.0,13966,14112,guilford,13987,13990,mir,guilford
gdc,x8fs.0,13966,14112,guilford,14014,14017,ich,guilford
gdc,x8fs.0,13966,14112,guilford,14032,14035,ich,guilford
gdc,x8fs.0,13966,14112,guilford,14050,14054,mein,guilford
gdc,x8fs.0,13966,14112,guilford,14060,14063,mir,guilford
gdc,x8fs.0,14116,14169,der_officier,14130,14143,Lord Guilford,guilford
gdc,x8fs.0,14174,14639,guilford,14302,14306,mich,guilford
gdc,x8fs.0,14174,14639,guilford,14320,14323,Ich,guilford
gdc,x8fs.0,14174,14639,guilford,14580,14583,Ich,guilford
gdc,x8fs.0,14717,15507,lady_johanna,14839,14842,ich,lady_johanna
gdc,x8fs.0,14717,15507,lady_johanna,14849,14852,Ich,lady_johanna
gdc,x8fs.0,14717,15507,lady_johanna,14951,14954,ich,lady_johanna
gdc,x8fs.0,14717,15507,lady_johanna,14977,14981,Mein,lady_johanna
gdc,x8fs.0,14717,15507,lady_johanna,15001,15004,ich,lady_johanna
gdc,x8fs.0,14717,15507,lady_johanna,15044,15048,mich,lady_johanna
gdc,x8fs.0,14717,15507,lady_johanna,15249,15253,mich,lady_johanna
gdc,x8fs.0,15550,17218,northumberland,15645,15649,mein,northumberland
gdc,x8fs.0,15550,17218,northumberland,15732,15736,mich,northumberland
gdc,x8fs.0,15550,17218,northumberland,15781,15785,mich,northumberland
gdc,x8fs.0,15550,17218,northumberland,15904,15910,meinem,northumberland
gdc,x8fs.0,15550,17218,northumberland,15952,15958,meinem,northumberland
gdc,x8fs.0,15550,17218,northumberland,15985,15989,mein,northumberland
gdc,x8fs.0,15550,17218,northumberland,16005,16009,mein,northumberland
gdc,x8fs.0,15550,17218,northumberland,16154,16158,mein,northumberland
gdc,x8fs.0,15550,17218,northumberland,16280,16283,mir,northumberland
gdc,x8fs.0,15550,17218,northumberland,16750,16755,meine,northumberland
gdc,x8fs.0,15550,17218,northumberland,16801,16805,mich,northumberland
gdc,x8fs.0,15550,17218,northumberland,16820,16823,ich,northumberland
gdc,x8fs.0,15550,17218,northumberland,16933,16938,meine,northumberland
gdc,x8fs.0,15550,17218,northumberland,17031,17035,mein,northumberland
gdc,x8fs.0,15550,17218,northumberland,17193,17197,mein,northumberland
gdc,x8fs.0,17241,17270,_stage,17241,17255,Northumberland,northumberland
gdc,x8fs.0,17272,17397,northumberland,17295,17300,meine,northumberland
gdc,x8fs.0,17272,17397,northumberland,17315,17319,mich,northumberland
gdc,x8fs.0,17403,17468,lady_johanna,17427,17431,mein,lady_johanna
gdc,x8fs.0,17779,18195,lady_johanna,17794,17798,Mich,lady_johanna
gdc,x8fs.0,17779,18195,lady_johanna,17814,17817,ich,lady_johanna
gdc,x8fs.0,17779,18195,lady_johanna,17855,17858,mir,lady_johanna
gdc,x8fs.0,18201,18727,northumberland,18218,18222,Mich,northumberland
gdc,x8fs.0,18201,18727,northumberland,18380,18385,meine,northumberland
gdc,x8fs.0,18201,18727,northumberland,18432,18435,mir,northumberland
gdc,x8fs.0,18788,19329,northumberland,18829,18833,mich,northumberland
gdc,x8fs.0,19335,21063,lady_johanna,19370,19373,ich,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,19384,19387,ich,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,19406,19409,ich,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,19438,19441,mir,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,19557,19560,Ich,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,19607,19610,ich,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,19716,19719,ich,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,19729,19733,mich,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,19737,19741,Mein,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,19768,19774,meiner,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,20017,20020,mir,lady_johanna
gdc,x8fs.0,19335,21063,lady_johanna,20184,20187,ich,lady_johanna
gdc,x8fs.0,21069,23046,northumberland,21088,21093,Meine,northumberland
gdc,x8fs.0,21069,23046,northumberland,21111,21114,Ich,northumberland
gdc,x8fs.0,21069,23046,northumberland,22028,22033,meine,northumberland
gdc,x8fs.0,21069,23046,northumberland,22108,22112,mich,northumberland
gdc,x8fs.0,21069,23046,northumberland,22928,22931,mir,northumberland
gdc,x8fs.0,23052,23370,lady_johanna,23095,23101,meiner,lady_johanna
gdc,x8fs.0,23052,23370,lady_johanna,23109,23113,Mein,lady_johanna
gdc,x8fs.0,23052,23370,lady_johanna,23154,23157,mir,lady_johanna
gdc,x8fs.0,23052,23370,lady_johanna,23306,23309,mir,lady_johanna
gdc,x8fs.0,24090,24694,lady_johanna,24120,24123,mir,lady_johanna
gdc,x8fs.0,24090,24694,lady_johanna,24174,24178,mich,lady_johanna
gdc,x8fs.0,24090,24694,lady_johanna,24220,24226,meinen,lady_johanna
gdc,x8fs.0,24090,24694,lady_johanna,24341,24344,mir,lady_johanna
gdc,x8fs.0,24700,25211,northumberland,24722,24727,Meine,northumberland
gdc,x8fs.0,24700,25211,northumberland,24761,24766,meine,northumberland
gdc,x8fs.0,24967,25030,_stage,25005,25017,Lady Suffolk,lady_suffolk
gdc,x8fs.0,24967,25030,_stage,25010,25017,Suffolk,suffolk
gdc,x8fs.0,24700,25211,northumberland,25187,25190,ich,northumberland
gdc,x8fs.0,25232,25259,_stage,25232,25244,Lady Suffolk,lady_suffolk
gdc,x8fs.0,25232,25259,_stage,25237,25244,Suffolk,suffolk
gdc,x8fs.0,25261,25537,lady_suffolk,25278,25283,meine,lady_suffolk
gdc,x8fs.0,25261,25537,lady_suffolk,25300,25304,mein,lady_suffolk
gdc,x8fs.0,25261,25537,lady_suffolk,25312,25317,meine,lady_suffolk
gdc,x8fs.0,25261,25537,lady_suffolk,25327,25332,meine,lady_suffolk
gdc,x8fs.0,25261,25537,lady_suffolk,25352,25358,meinen,lady_suffolk
gdc,x8fs.0,25261,25537,lady_suffolk,25392,25396,mein,lady_suffolk
gdc,x8fs.0,25261,25537,lady_suffolk,25496,25502,meiner,lady_suffolk
gdc,x8fs.0,25261,25537,lady_suffolk,25525,25529,mein,lady_suffolk
gdc,x8fs.0,25543,25574,lady_johanna,25561,25566,meine,lady_johanna
gdc,x8fs.0,26424,26695,lady_johanna,26455,26458,ich,lady_johanna
gdc,x8fs.0,26424,26695,lady_johanna,26475,26479,mich,lady_johanna
gdc,x8fs.0,26424,26695,lady_johanna,26502,26506,mein,lady_johanna
gdc,x8fs.0,26424,26695,lady_johanna,26566,26569,ich,lady_johanna
gdc,x8fs.0,26424,26695,lady_johanna,26580,26583,ich,lady_johanna
gdc,x8fs.0,26424,26695,lady_johanna,26637,26642,meine,lady_johanna
gdc,x8fs.0,26701,26945,lady_suffolk,26781,26786,meine,lady_suffolk
gdc,x8fs.0,26951,28092,lady_johanna,26984,26989,meine,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27249,27253,mich,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27325,27331,meinen,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27387,27390,mir,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27417,27421,mich,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27515,27518,ich,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27577,27582,meine,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27668,27671,mir,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27686,27689,Ich,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27739,27743,mich,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27757,27760,ich,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27865,27868,mir,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27889,27894,meine,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,27922,27926,mich,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,28038,28041,mir,lady_johanna
gdc,x8fs.0,26951,28092,lady_johanna,28078,28082,Mein,lady_johanna
gdc,x8fs.0,28098,28592,lady_suffolk,28207,28210,mir,lady_suffolk
gdc,x8fs.0,28098,28592,lady_suffolk,28211,28216,meine,lady_suffolk
gdc,x8fs.0,28598,28869,lady_johanna,28805,28808,mir,lady_johanna
gdc,x8fs.0,28598,28869,lady_johanna,28823,28828,meine,lady_johanna
gdc,x8fs.0,28598,28869,lady_johanna,28846,28849,mir,lady_johanna
gdc,x8fs.0,28875,29570,lady_suffolk,29053,29056,ich,lady_suffolk
gdc,x8fs.0,28875,29570,lady_suffolk,29057,29063,meinem,lady_suffolk
gdc,x8fs.0,28875,29570,lady_suffolk,29099,29102,ich,lady_suffolk
gdc,x8fs.0,28875,29570,lady_suffolk,29103,29106,mir,lady_suffolk
gdc,x8fs.0,28875,29570,lady_suffolk,29154,29160,meines,lady_suffolk
gdc,x8fs.0,28875,29570,lady_suffolk,29207,29211,mich,lady_suffolk
gdc,x8fs.0,28875,29570,lady_suffolk,29385,29389,mich,lady_suffolk
gdc,x8fs.0,28875,29570,lady_suffolk,29513,29517,mein,lady_suffolk
gdc,x8fs.0,29576,29709,lady_johanna,29600,29605,meine,lady_johanna
gdc,x8fs.0,29576,29709,lady_johanna,29672,29675,ich,lady_johanna
gdc,x8fs.0,29576,29709,lady_johanna,29698,29701,ich,lady_johanna
gdc,x8fs.0,29715,29918,lady_suffolk,29743,29747,mein,lady_suffolk
gdc,x8fs.0,29715,29918,lady_suffolk,29756,29759,Ich,lady_suffolk
gdc,x8fs.0,29715,29918,lady_suffolk,29789,29792,Ich,lady_suffolk
gdc,x8fs.0,29942,32145,lady_johanna,29975,29979,mein,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,30004,30008,mein,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,30243,30246,ich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,30262,30265,mir,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,30410,30413,ich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,30573,30579,meines,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,30695,30698,ich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,30753,30757,mich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,30839,30843,mein,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,30884,30887,ich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31141,31145,mich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31240,31246,meiner,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31333,31336,ich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31552,31556,Mein,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31587,31591,mich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31624,31627,ich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31655,31659,mich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31736,31742,meinem,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31758,31761,ich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31800,31804,mein,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31863,31866,mir,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31888,31891,ich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,31920,31923,Ich,lady_johanna
gdc,x8fs.0,29942,32145,lady_johanna,32035,32039,mich,lady_johanna
gdc,x8fs.0,32084,32122,_stage,32094,32101,Suffolk,suffolk
gdc,x8fs.0,29942,32145,lady_johanna,32140,32144,mich,lady_johanna
gdc,x8fs.0,32168,32211,_stage,32179,32186,Suffolk,suffolk
gdc,x8fs.0,32168,32211,_stage,32188,32201,Lord Guilford,guilford
gdc,x8fs.0,32213,32806,suffolk,32511,32515,Mein,suffolk
gdc,x8fs.0,32213,32806,suffolk,32530,32535,meine,suffolk
gdc,x8fs.0,32812,32927,lady_johanna,32835,32838,mir,lady_johanna
gdc,x8fs.0,32812,32927,lady_johanna,32840,32844,mein,lady_johanna
gdc,x8fs.0,33111,33192,lady_johanna,33165,33169,mich,lady_johanna
gdc,x8fs.0,33659,33835,lady_johanna,33699,33703,mein,lady_johanna
gdc,x8fs.0,33659,33835,lady_johanna,33723,33727,Mein,lady_johanna
gdc,x8fs.0,33659,33835,lady_johanna,33822,33826,mein,lady_johanna
gdc,x8fs.0,33841,35241,guilford,34047,34050,ich,guilford
gdc,x8fs.0,33841,35241,guilford,34101,34104,mir,guilford
gdc,x8fs.0,35292,35809,guilford,35328,35331,mir,guilford
gdc,x8fs.0,35927,36201,lady_johanna,35943,35947,mein,lady_johanna
gdc,x8fs.0,35927,36201,lady_johanna,35972,35976,mein,lady_johanna
gdc,x8fs.0,35927,36201,lady_johanna,36003,36006,mir,lady_johanna
gdc,x8fs.0,35927,36201,lady_johanna,36009,36013,Mein,lady_johanna
gdc,x8fs.0,35927,36201,lady_johanna,36117,36121,mich,lady_johanna
gdc,x8fs.0,35927,36201,lady_johanna,36123,36127,mein,lady_johanna
gdc,x8fs.0,35927,36201,lady_johanna,36152,36156,mich,lady_johanna
gdc,x8fs.0,36226,36254,_stage,36226,36240,Northumberland,northumberland
gdc,x8fs.0,36498,37158,northumberland,37024,37028,Mein,northumberland
gdc,x8fs.0,37495,38102,lady_johanna,37504,37507,Ich,lady_johanna
gdc,x8fs.0,37495,38102,lady_johanna,37639,37642,ich,lady_johanna
gdc,x8fs.0,37495,38102,lady_johanna,37729,37735,meiner,lady_johanna
gdc,x8fs.0,37495,38102,lady_johanna,37956,37960,mein,lady_johanna
gdc,x8fs.0,37495,38102,lady_johanna,37996,38000,mich,lady_johanna
gdc,x8fs.0,37495,38102,lady_johanna,38028,38032,Mich,lady_johanna
gdc,x8fs.0,37495,38102,lady_johanna,38054,38058,mein,lady_johanna
gdc,x8fs.0,38140,38161,_stage,38140,38146,Sidney,sidney
gdc,x8fs.0,38481,39010,lady_johanna,38499,38504,Meine,lady_johanna
gdc,x8fs.0,38481,39010,lady_johanna,38708,38711,ich,lady_johanna
gdc,x8fs.0,38481,39010,lady_johanna,38749,38753,mich,lady_johanna
gdc,x8fs.0,38481,39010,lady_johanna,38815,38819,Mich,lady_johanna
gdc,x8fs.0,38481,39010,lady_johanna,38970,38974,mein,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,39590,39593,ich,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,39594,39598,mich,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,39710,39713,ich,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,39726,39729,mir,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,39730,39734,mein,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,39790,39794,Mein,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,39820,39826,meinem,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,39889,39893,mich,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,40034,40038,mich,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,40044,40047,ich,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,40064,40067,ich,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,40626,40630,Mich,lady_johanna
gdc,x8fs.0,39567,40833,lady_johanna,40812,40818,meinem,lady_johanna
gdc,x8fs.0,40880,41424,guilford,40891,40894,Ich,guilford
gdc,x8fs.0,40880,41424,guilford,40902,40907,meine,guilford
gdc,x8fs.0,40880,41424,guilford,41324,41338,Northumberland,northumberland
gdc,x8fs.0,41430,42110,lady_johanna,41445,41450,Meine,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41484,41487,Ich,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41504,41507,Ich,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41528,41532,Mein,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41624,41627,Ich,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41667,41670,Ich,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41699,41703,mich,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41786,41790,mich,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41819,41825,meinen,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41894,41898,mich,lady_johanna
gdc,x8fs.0,41430,42110,lady_johanna,41899,41903,mein,lady_johanna
